Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
YBB1403,9034,Rendah,PPD LUNDU,SK SEBIRIS,D/A PEJABAT PELAJARAN DAERAH , LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,"SK SEBIRIS, D/A PEJABAT PELAJARAN DAERAH ,  LUNDU, 94500, LUNDU"
YBB1404,9035,Rendah,PPD LUNDU,SK SELAMPIT,D/A PEJABAT PELAJARAN DAERAH  LUNDU,94500,LUNDU,SARAWAK,082737002/3,TIADA,,,,,"SK SELAMPIT, D/A PEJABAT PELAJARAN DAERAH  LUNDU, 94500, LUNDU, SARAWAK"
YBB1406,9036,Rendah,PPD LUNDU,SK LEBAI MENTALI,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,,94500,LUNDU,SARAWAK,82735720,TIADA,,,,"SK LEBAI MENTALI, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU"
YBB1407,9037,Rendah,PPD LUNDU,SK JANGKAR,D/A PEJABAT PENDIDIKAN DAERAH, LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,"SK JANGKAR, D/A PEJABAT PENDIDIKAN DAERAH,  LUNDU, 94500, LUNDU"
YBB1409,9038,Rendah,PPD LUNDU,SK SAMPADI,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SAMPADI, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1410,9039,Rendah,PPD LUNDU,SK BIAWAK,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,,,,,,,"SK BIAWAK, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1411,9040,Rendah,PPD LUNDU,SK PAON/TEMAGA,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK PAON/TEMAGA, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1412,9041,Rendah,PPD LUNDU,SK STUNGKOR,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,82656015,82656014,,,,,"SK STUNGKOR, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1413,9042,Rendah,PPD LUNDU,SK SEBAT,D/A PEJABAT PELAJARAN DAERAH  LUNDU,,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,"SK SEBAT, D/A PEJABAT PELAJARAN DAERAH  LUNDU, 94500, LUNDU"
YBB1414,9043,Rendah,PPD LUNDU,SK PASIR TENGAH,D/A PEJABAT PENDIDIKAN DAERAH  LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK PASIR TENGAH, D/A PEJABAT PENDIDIKAN DAERAH  LUNDU, 94500, LUNDU, SARAWAK"
YBB1415,9044,Rendah,PPD LUNDU,SK PUGU,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK PUGU, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1416,9045,Rendah,PPD LUNDU,SK RASO,SK RASO, D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,94500,LUNDU,SARAWAK,TIADA,TIADA,,,"SK RASO, SK RASO,  D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, 94500"
YBB1417,9046,Rendah,PPD LUNDU,SK SEBANDI,D/A PEJABAT PELAJARAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SEBANDI, D/A PEJABAT PELAJARAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1418,9047,Rendah,PPD LUNDU,SK KENDAIE,D/A PEJABAT PELAJARAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK KENDAIE, D/A PEJABAT PELAJARAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1419,9048,Rendah,PPD LUNDU,SK SENIBONG SEJERIN,D/A PEJABAT PENDIDIKAN DAERAH  LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SENIBONG SEJERIN, D/A PEJABAT PENDIDIKAN DAERAH  LUNDU, 94500, LUNDU, SARAWAK"
YBB1420,9049,Rendah,PPD LUNDU,SK SERAYAN/KERANJI, D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SERAYAN/KERANJI,  D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1422,9050,Rendah,PPD LUNDU,SK BOKAH,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK BOKAH, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1423,9051,Rendah,PPD LUNDU,SK SEBAKO,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SEBAKO, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1424,9052,Rendah,PPD LUNDU,SK SIAR CAMPURAN,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,TIADA,TIADA,,,,,"SK SIAR CAMPURAN, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB1425,9053,Rendah,PPD LUNDU,SK STUNGGANG/TEMELAN,D/A PEJABAT PENDIDIKAN DAERAH LUNDU,94500,LUNDU,SARAWAK,82375973,TIADA,,,,,"SK STUNGGANG/TEMELAN, D/A PEJABAT PENDIDIKAN DAERAH LUNDU, 94500, LUNDU, SARAWAK"
YBB2101,9054,Rendah,PPD SRI AMAN,SK GRAN/STUMBIN,D/A PEJABAT PENDIDIKAN DAERAH SRI AMAN,95000,SRI AMAN,SARAWAK,83429003,83429004,,,,,"SK GRAN/STUMBIN, D/A PEJABAT PENDIDIKAN DAERAH SRI AMAN, 95000, SRI AMAN, SARAWAK"
YBB2102,9055,Rendah,PPD SRI AMAN,SK BATU LINTANG,D/A PEJABAT PENDIDIKAN DAERAH SRI AMAN,,95007,SRI AMAN,SARAWAK,83308179,TIADA,,,,"SK BATU LINTANG, D/A PEJABAT PENDIDIKAN DAERAH SRI AMAN, 95007, SRI AMAN"
YBB2103,9056,Rendah,PPD SRI AMAN,SK PANTU,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95007,SRI AMAN,SARAWAK,83310245,83308871,,,,"SK PANTU, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95007, SRI AMAN"
YBB2104,9057,Rendah,PPD SRI AMAN,SK MELUGU,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95000,SRI AMAN,SARAWAK,83337181,TIADA,,,,"SK MELUGU, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95000, SRI AMAN"
YBB2105,9058,Rendah,PPD SRI AMAN,SK ABOK,D/A PEJABAT PELAJARAN DAERAH SRI AMAN,95000,SRI AMAN,SARAWAK,TIADA,TIADA,,,,,"SK ABOK, D/A PEJABAT PELAJARAN DAERAH SRI AMAN, 95000, SRI AMAN, SARAWAK"
YBB2108,9059,Rendah,PPD SRI AMAN,SK SELEPONG,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95007,SRI AMAN,SARAWAK,83308084,TIADA,,,,"SK SELEPONG, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95007, SRI AMAN"
YBB2109,9060,Rendah,PPD SRI AMAN,SK JAONG,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95000,SRI AMAN,SARAWAK,TIADA,TIADA,,,,"SK JAONG, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95000, SRI AMAN"
YBB2111,9061,Rendah,PPD SRI AMAN,SK TG BIJAT,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95000,SRI AMAN,SARAWAK,0,TIADA,,,,"SK TG BIJAT, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95000, SRI AMAN"
YBB2112,9062,Rendah,PPD SRI AMAN,SK SELANJAN,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95007,SRI AMAN,SARAWAK,TIADA,TIADA,,,,"SK SELANJAN, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95007, SRI AMAN"
YBB2113,9063,Rendah,PPD SRI AMAN,SK KERANGGAS,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95007,SRI AMAN,SARAWAK,194858411,TIADA,,,,"SK KERANGGAS, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95007, SRI AMAN"
YBB2116,9064,Rendah,PPD BETONG,SK ISSU/BANGAT,D/A PEJABAT PELAJARAN DAERAH BETONG,95700,BETONG,SARAWAK,TIADA,TIADA,,,,,"SK ISSU/BANGAT, D/A PEJABAT PELAJARAN DAERAH BETONG, 95700, BETONG, SARAWAK"
YBB2117,9065,Rendah,PPD SRI AMAN,SK NG KLASSEN,D/A PEJABAT PELAJARAN DAERAH, BAHAGIAN SRI AMAN,95007,SRI AMAN,SARAWAK,83308121,TIADA,,,,"SK NG KLASSEN, D/A PEJABAT PELAJARAN DAERAH,  BAHAGIAN SRI AMAN, 95007, SRI AMAN"
YBB2120,9066,Rendah,PPD LUBOK ANTU,SK TABUT,D/A PPD LUBOK ANTU,95900,ENGKILILI,SARAWAK,TIADA,TIADA,,,,,"SK TABUT, D/A PPD LUBOK ANTU, 95900, ENGKILILI, SARAWAK"
YBB2123,9067,Rendah,PPD LUBOK ANTU,SK NANGA TEBAT,SK NANGA TEBAT, D/A PEJABAT PENDIDIKAN DAERAH, DAERAH LUBOK ANTU,95900,LUBOK ANTU,SARAWAK,TIADA,TIADA,,,"SK NANGA TEBAT, SK NANGA TEBAT,  D/A PEJABAT PENDIDIKAN DAERAH,  DAERAH LUBOK ANTU, 95900"
YBB2124,9068,Rendah,PPD SRI AMAN,SK NG SKRANG,D/A PEJABAT PENDIDIKAN DAERAH, BAHAGIAN SRI AMAN,95000,SRI AMAN,SARAWAK,TIADA,TIADA,,,,"SK NG SKRANG, D/A PEJABAT PENDIDIKAN DAERAH,  BAHAGIAN SRI AMAN, 95000, SRI AMAN"
