Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,CountOfKPUtama,TOTAL_STUDENT,RATIO_STUDENT_RATIO,Lat,Lng
1188,Rendah,PPD KUALA SELANGOR,BBA3016,SK SUNGAI BURONG,"BATU 12, JALAN BERNAM",45500,TANJONG KARANG,SELANGOR,0332693381,0332693381,34,440,12.94117647,0,0
1189,Rendah,PPD KUALA SELANGOR,BBA3017,SK SRI TIRAM,"JALAN SETANJUNG, KG. SERI TIRAM JAYA",45500,TANJONG KARANG,SELANGOR,0332691935,0332691935,34,364,10.70588235,0,0
1190,Rendah,PPD KUALA SELANGOR,BBA3018,SK DATO' MANAN (INTEG),KAMPUNG SUNGAI TENGI KANAN,45500,TANJONG KARANG,SELANGOR,0332698033,0332698033,47,566,12.04255319,5.4162684,100.3148412
1191,Rendah,PPD KUALA SELANGOR,BBA3019,SK SERI GAMBUT,JALAN TERUSAN BESAR,45500,TANJONG KARANG,SELANGOR,0332690300,0332690300,19,166,8.736842105,3.426409,101.1767141
1192,Rendah,PPD KUALA SELANGOR,BBA3020,SK SUNGAI SIREH,JALAN PARIT 1 SUNGAI SIREH,45500,TANJONG KARANG,SELANGOR,0332691813,0332691813,51,550,10.78431373,3.4493964,101.1479596
1193,Rendah,PPD KUALA SELANGOR,BBA3021,SK PARIT EMPAT,"BATU 14, JALAN BERNAM",45400,SEKINCHAN,SELANGOR,0332415288,0332415288,30,325,10.83333333,3.5080502,101.1013219
1194,Rendah,PPD KUALA SELANGOR,BBA3022,SK PARIT MAHANG,KAMPUNG PARIT MAHANG,45800,JERAM,SELANGOR,0332600531,TIADA,37,514,13.89189189,3.287266,101.3786572
1195,Rendah,PPD KUALA SELANGOR,BBA3024,SK JALAN RAJA MUSA,"BATU 8, JALAN RAJA MUSA",45000,KUALA SELANGOR,SELANGOR,0332896094,0332896094,21,236,11.23809524,3.4062046,101.3370519
1196,Rendah,PPD KUALA SELANGOR,BBA3025,SK SUNGAI TERAP,"BATU 4, JALAN BERNAM",45500,TANJONG KARANG,SELANGOR,0332894626,0332894626,43,455,10.58139535,0,0
1197,Rendah,PPD KUALA SELANGOR,BBA3026,SK PARIT SERONG,"JALAN PARIT SERONG, KG. PARIT SERONG",45500,TANJONG KARANG,SELANGOR,0332691787,0332691787,23,245,10.65217391,0,0
1198,Rendah,PPD KUALA SELANGOR,BBA3028,SK SAWAH SEMPADAN,"BLOK D, SAWAH SEMPADAN",45500,TANJONG KARANG,SELANGOR,0332601076,0332601076,30,329,10.96666667,0,0
1199,Rendah,PPD KUALA SELANGOR,BBA3029,SK BERJAYA,PARIT 3 BAN 3,45400,SEKINCHAN,SELANGOR,0332412690,0332412690,29,338,11.65517241,3.506205,101.105987
1200,Rendah,PPD KLANG,BBA3030,SK BUKIT CERAKA,FELDA BUKIT CERAKA  KAPAR,42200,KAPAR,SELANGOR,0333926043,0333926043,27,216,8,3.1252401,101.3998518
1201,Rendah,PPD KUALA SELANGOR,BBA3031,SK BANDAR BARU,JALAN MELUR,45000,KUALA SELANGOR,SELANGOR,0332894652,0332894652,78,1204,15.43589744,3.4431096,101.190115
1202,Rendah,PPD KUALA SELANGOR,BBA3032,SK BESTARI JAYA,JALAN BESAR,45600,BESTARI JAYA,SELANGOR,0332710343,0332710346,41,431,10.51219512,3.3328617,101.3658004
1203,Rendah,PPD KUALA SELANGOR,BBA3033,SK PUNCAK ALAM,LRG. MAHKOTA IMPIAN 2/1 SEKSYEN 2,42300,BDR PUNCAK ALAM,SELANGOR,0333928171,0333920029,67,782,11.67164179,3.2309706,101.4477562
1204,Rendah,PPD KUALA SELANGOR,BBA3034,SK SAUJANA UTAMA IJOK,"PERSIARAN SAUJANA 3, SAUJANA UTAMA",47000,SUNGAI BULOH,SELANGOR,0360384388,0360386018,181,3119,17.2320442,0,0
1205,Rendah,PPD KUALA SELANGOR,BBA3035,SK PUNCAK ALAM 2,"JALAN GUGUSAN ALAM 7/1,SEKSYEN 7",42300,BDR PUNCAK ALAM,SELANGOR,0333936961,0333936045,125,2259,18.072,0,0
1206,Rendah,PPD KUALA SELANGOR,BBA3036,SK SERI PRISTANA,"LOT 8214 JALAN SP2/1, SERI PRISTANA",47000,SUNGAI BULOH,SELANGOR,0360391594,0360391595,83,1549,18.6626506,3.2094226,101.4722494
1207,Rendah,PPD KUALA SELANGOR,BBA3037,SK PUNCAK ALAM 3,"LOT 7664, JALAN ASTANA 13/2",42300,BANDAR PUNCAK ALAM,SELANGOR,0333932839,0333932839,65,1170,18,3.246538,101.4253742
1208,Rendah,PPD KUALA SELANGOR,BBA3038,SK DESA AMAN,"TAMAN DESA COALFIELDS, FASA 3",47000,SUNGAI BULOH,SELANGOR,0360382696,0360383835,59,1019,17.27118644,0,0
